Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Seagate,ST310005 1TB,398,45.6,13,https://hdd.userbenchmark.com/SpeedTest/1342/ST310005
HDD,,Toshiba,MQ01ABD050 500GB,399,45.5,19211,https://hdd.userbenchmark.com/SpeedTest/924/TOSHIBA-MQ01ABD050
HDD,,Seagate,ST750LM000-1EJ16G 750GB,400,45.5,771,https://hdd.userbenchmark.com/SpeedTest/10621/ST750LM000-1EJ16G
HDD,,Hitachi,HDT721064SLA360 640GB,401,45.3,2027,https://hdd.userbenchmark.com/SpeedTest/6072/Hitachi-HDT721064SLA360
HDD,WD10JPVX,WD,Blue 2.5" 1TB (2004),402,45.2,122814,https://hdd.userbenchmark.com/SpeedTest/3140/WDC-WD10JPVX-22JC3T0
HDD,,Hitachi,HDS5C1050CLA382 500GB,403,45.1,1521,https://hdd.userbenchmark.com/SpeedTest/4543/Hitachi-HDS5C1050CLA382
HDD,,Maxtor,STM31000340AS 1TB,404,45.1,413,https://hdd.userbenchmark.com/SpeedTest/99/MAXTOR-STM31000340AS
HDD,,Seagate,ST3500620AS 500GB,405,45.1,3040,https://hdd.userbenchmark.com/SpeedTest/3388/ST3500620AS
HDD,ST500LM000,Seagate,Laptop Thin SSHD 2.5" 500GB,406,45.1,20450,https://hdd.userbenchmark.com/Seagate-Laptop-Thin-SSHD-25--500GB/Rating/1803
HDD,WD7500LPCX,WD,Blue 2.5" 750GB (2013),407,45.1,630,https://hdd.userbenchmark.com/SpeedTest/7349/WDC-WD7500LPCX-80HWST0
HDD,WD3200AAKS,WD,Blue 320GB (2008),408,45.1,39723,https://hdd.userbenchmark.com/SpeedTest/1186/WDC-WD3200AAKS-00B3A0
HDD,,Seagate,ST3750330AS 750GB,409,45,2149,https://hdd.userbenchmark.com/SpeedTest/1776/ST3750330AS
HDD,WD3200AAJS,WD,Blue 320GB (2007),410,45,60844,https://hdd.userbenchmark.com/SpeedTest/804/WDC-WD3200AAJS-00L7A0
HDD,,Toshiba,MK3261GSYN 320GB,411,44.9,4146,https://hdd.userbenchmark.com/SpeedTest/30/TOSHIBA-MK3261GSYN
HDD,,,OCZ-AGILITY3 60GB,412,44.7,38,https://hdd.userbenchmark.com/SpeedTest/2437/OCZ-AGILITY3
HDD,,Toshiba,MQ01ABF050 500GB,413,44.6,57503,https://hdd.userbenchmark.com/SpeedTest/2789/TOSHIBA-MQ01ABF050
HDD,,Samsung,HD161GJ 160GB,414,44.6,8085,https://hdd.userbenchmark.com/SpeedTest/2493/SAMSUNG-HD161GJ
HDD,,Seagate,ST500LT032-1E9142 500GB,415,44.5,819,https://hdd.userbenchmark.com/SpeedTest/12252/ST500LT032-1E9142
HDD,,Toshiba,MQ01ABD0 500GB,416,44.4,277,https://hdd.userbenchmark.com/SpeedTest/11593/TOSHIBA-MQ01ABD0
HDD,WD20EADS,WD,Green 2TB (2009),417,44.4,6746,https://hdd.userbenchmark.com/SpeedTest/1732/WDC-WD20EADS-11R6B1
HDD,WD10EARS,WD,Green 1TB (2010),418,44.4,68992,https://hdd.userbenchmark.com/SpeedTest/1117/WDC-WD10EARS-00Y5B1
HDD,,WD,WD6400AADS-00M2B0 640GB,419,44.3,748,https://hdd.userbenchmark.com/SpeedTest/10673/WDC-WD6400AADS-00M2B0
HDD,,Seagate,ST320LT009-9WC142 320GB,420,44.3,506,https://hdd.userbenchmark.com/SpeedTest/4704/ST320LT009-9WC142
HDD,,Seagate,FreeAgent XTreme 1TB,421,44.3,42,https://hdd.userbenchmark.com/SpeedTest/2882/Seagate-FreeAgent-XTreme
HDD,HD203WI,Samsung,Spinpoint F3 2TB,422,44.3,2539,https://hdd.userbenchmark.com/SpeedTest/640/SAMSUNG-HD203WI
HDD,WD10SPCX,WD,Blue 2.5" 1TB (2013),423,44.2,37431,https://hdd.userbenchmark.com/SpeedTest/3227/WDC-WD10SPCX-22HWST0
HDD,,Hitachi,HTS725032A7E630 320GB,424,44.2,5033,https://hdd.userbenchmark.com/SpeedTest/5008/HGST-HTS725032A7E630
HDD,,Hitachi,HTS541010A9 1TB,425,44.2,221,https://hdd.userbenchmark.com/SpeedTest/6753/HGST-HTS541010A9
HDD,,Seagate,ST500LM000-SSHD-8GB 500GB,426,44.1,6198,https://hdd.userbenchmark.com/SpeedTest/9154/ST500LM000-SSHD-8GB
HDD,,Hitachi,HDT721032SLA360 320GB,427,44.1,2744,https://hdd.userbenchmark.com/SpeedTest/3078/Hitachi-HDT721032SLA360
HDD,WD5000LPCX,WD,Blue 2.5" 500GB (2013),428,44.1,32849,https://hdd.userbenchmark.com/SpeedTest/6849/WDC-WD5000LPCX-24C6HT0
HDD,,Hitachi,HTS725050A9A360 500GB,429,44.1,722,https://hdd.userbenchmark.com/SpeedTest/416/Hitachi-HTS725050A9A360
HDD,HTS541010A9E680,HGST,Travelstar 5K1000 2.5" 1TB,430,44,78056,https://hdd.userbenchmark.com/SpeedTest/72/HGST-HTS541010A9E680
HDD,ST320LT007,Seagate,Momentus Thin 7200 2.5" 320GB,431,44,7121,https://hdd.userbenchmark.com/SpeedTest/1923/ST320LT007-9ZV142
HDD,,Seagate,ST3320418AS 320GB,432,44,14827,https://hdd.userbenchmark.com/SpeedTest/168/ST3320418AS
HDD,,WD,WD8000AARS-00Y5B1 800GB,433,44,664,https://hdd.userbenchmark.com/SpeedTest/3653/WDC-WD8000AARS-00Y5B1
HDD,,Seagate,ST3160813AS 160GB,434,44,2812,https://hdd.userbenchmark.com/SpeedTest/2850/ST3160813AS
HDD,WD7500BPVX,WD,Blue 2.5" 750GB,435,43.9,8270,https://hdd.userbenchmark.com/SpeedTest/3028/WDC-WD7500BPVX-75JC3T0
HDD,HM500JJ,Samsung,Spinpoint MP4 2.5" 500GB,436,43.9,722,https://hdd.userbenchmark.com/SpeedTest/1178/SAMSUNG-HM500JJ
HDD,WD3200BEKX,WD,Black 2.5" 320GB (2013),437,43.9,2127,https://hdd.userbenchmark.com/SpeedTest/6418/WDC-WD3200BEKX-00B7WT0
HDD,,Seagate,ST31500541AS 1.5TB,438,43.8,5082,https://hdd.userbenchmark.com/SpeedTest/667/ST31500541AS
HDD,,Toshiba,MK7559GSXF 750GB,439,43.8,758,https://hdd.userbenchmark.com/SpeedTest/2028/TOSHIBA-MK7559GSXF
HDD,WD15EARS,WD,Green 1.5TB (2010),440,43.8,23118,https://hdd.userbenchmark.com/SpeedTest/1144/WDC-WD15EARS-00MVWB0
HDD,,WD,WD10JPCX-24UE4T0 1TB,441,43.6,23471,https://hdd.userbenchmark.com/SpeedTest/11224/WDC-WD10JPCX-24UE4T0
HDD,WD10EADS,WD,Green 1TB (2009),442,43.5,59793,https://hdd.userbenchmark.com/SpeedTest/362/WDC-WD10EADS-00L5B1
HDD,,WD,WD10EADX-00TDHB0 1TB,443,43.5,6233,https://hdd.userbenchmark.com/SpeedTest/1049/WDC-WD10EADX-00TDHB0
HDD,HD753LJ,Samsung,Spinpoint F1 750GB,444,43.4,17292,https://hdd.userbenchmark.com/SpeedTest/1245/SAMSUNG-HD753LJ
HDD,,WD,WD10EURS-630AB1 1TB,445,43.4,1609,https://hdd.userbenchmark.com/SpeedTest/5849/WDC-WD10EURS-630AB1
HDD,,WD,WD15EVDS-73V9B1 1.5TB,446,43.3,995,https://hdd.userbenchmark.com/SpeedTest/6540/WDC-WD15EVDS-73V9B1
HDD,,Samsung,HD502IJ 500GB,447,43.2,15536,https://hdd.userbenchmark.com/SpeedTest/111/SAMSUNG-HD502IJ
HDD,WD5000LPVT,WD,Blue 2.5" 500GB (2012),448,43.2,8805,https://hdd.userbenchmark.com/SpeedTest/241/WDC-WD5000LPVT-22G33T0
HDD,,Samsung,HD252HJ 250GB,449,43.1,4069,https://hdd.userbenchmark.com/SpeedTest/2959/SAMSUNG-HD252HJ
HDD,ST9500420AS,Seagate,Momentus 2.5" 500GB,450,43.1,25956,https://hdd.userbenchmark.com/SpeedTest/785/ST9500420AS
HDD,ST500LX025,Seagate,FireCuda 2.5" 500GB,451,43.1,1238,https://hdd.userbenchmark.com/SpeedTest/208729/ST500LX025-1U717D
HDD,,WD,WD3200AVJS-63WDA0 320GB,452,43.1,3784,https://hdd.userbenchmark.com/SpeedTest/11043/WDC-WD3200AVJS-63WDA0
HDD,WD5000LPVX,WD,Blue 2.5" 500GB,453,43,40271,https://hdd.userbenchmark.com/SpeedTest/1040/WDC-WD5000LPVX-22V0TT0
HDD,WD10J31X,WD,Blue SSHD 1TB (2015),454,43,548,https://hdd.userbenchmark.com/SpeedTest/31760/WDC-WD10J31X-00U3VT0
HDD,ST1000LM024,Seagate,Momentus 2.5" 1TB,455,43,154414,https://hdd.userbenchmark.com/SpeedTest/130/ST1000LM024-HN-M101MBB
HDD,,Seagate,ST500LX012-SSHD-8GB 500GB,456,43,690,https://hdd.userbenchmark.com/SpeedTest/12260/ST500LX012-SSHD-8GB
HDD,,Seagate,ST3250410AS 250GB,457,43,14700,https://hdd.userbenchmark.com/SpeedTest/456/ST3250410AS
HDD,ST3320413AS,Seagate,Barracuda 7200.12 320GB,458,43,3176,https://hdd.userbenchmark.com/SpeedTest/3234/ST3320413AS
HDD,WD5000BEKT,WD,Black 2.5" 500GB (2010),459,42.9,2867,https://hdd.userbenchmark.com/SpeedTest/2241/WDC-WD5000BEKT-22KA9T0
HDD,WD2500AAKS,WD,Blue 250GB (2008),460,42.8,6164,https://hdd.userbenchmark.com/SpeedTest/2143/WDC-WD2500AAKS-00L6A0
HDD,HTS727550A9E364,HGST,Travelstar 7K750 2.5" 500GB,461,42.8,4690,https://hdd.userbenchmark.com/SpeedTest/789/Hitachi-HTS727550A9E364
HDD,,Samsung,HD250HJ 250GB,462,42.7,6513,https://hdd.userbenchmark.com/SpeedTest/2247/SAMSUNG-HD250HJ
HDD,,Samsung,HD503HI 500GB,463,42.7,4167,https://hdd.userbenchmark.com/SpeedTest/4359/SAMSUNG-HD503HI
HDD,,Seagate,ST3250312CS 250GB,464,42.7,1381,https://hdd.userbenchmark.com/SpeedTest/3255/ST3250312CS
HDD,,Hitachi,HTS725032A9A360 320GB,465,42.7,401,https://hdd.userbenchmark.com/SpeedTest/5927/Hitachi-HTS725032A9A360
HDD,,Toshiba,MQ01ABD075 750GB,466,42.5,26092,https://hdd.userbenchmark.com/SpeedTest/869/TOSHIBA-MQ01ABD075
HDD,,Hitachi,HDT721032SLA380 320GB,467,42.5,2431,https://hdd.userbenchmark.com/SpeedTest/4609/Hitachi-HDT721032SLA380
HDD,,Hitachi,HTS545050A7E3800 500GB,468,42.5,404,https://hdd.userbenchmark.com/SpeedTest/6179/HGST-HTS545050A7E3800
HDD,,WD,WD10EVDS-63N5B1 1TB,469,42.4,1221,https://hdd.userbenchmark.com/SpeedTest/4828/WDC-WD10EVDS-63N5B1
HDD,,Toshiba,MK5061GSYN 500GB,470,42.3,3880,https://hdd.userbenchmark.com/SpeedTest/2032/TOSHIBA-MK5061GSYN
HDD,,Hitachi,HTS545050A7E380 500GB,471,42.3,36671,https://hdd.userbenchmark.com/SpeedTest/664/Hitachi-HTS545050A7E380
HDD,,WD,WD75 00AARS-00Y5B 750GB,472,42.3,1618,https://hdd.userbenchmark.com/SpeedTest/1693/WDC-WD75-00AARS-00Y5B
HDD,,Samsung,HN-M101MBB 1TB,473,42.3,1888,https://hdd.userbenchmark.com/SpeedTest/2830/SAMSUNG-HN-M101MBB
HDD,,Maxtor,STM3250310AS 250GB,474,42.3,7848,https://hdd.userbenchmark.com/SpeedTest/1239/MAXTOR-STM3250310AS
